DATE,DGS10
1/1/18,2.58
2/1/18,2.86
3/1/18,2.84
4/2/18,2.87
5/1/18,2.98
6/1/18,2.91
7/2/18,2.89
8/1/18,2.89
9/4/18,3
10/1/18,3.15
11/1/18,3.11
12/3/18,2.83
1/1/19,2.72
2/1/19,2.67
3/1/19,2.57
4/1/19,2.53
5/1/19,2.39
6/3/19,2.07
7/1/19,2.06
8/1/19,1.62
9/2/19,1.7
10/1/19,1.71
11/1/19,1.81
12/2/19,1.86
1/1/20,1.76
2/3/20,1.5
3/2/20,0.87
4/1/20,0.66
5/1/20,0.67
6/1/20,0.73
7/1/20,0.62
8/3/20,0.65
9/1/20,0.68
10/1/20,0.79
11/2/20,0.87
12/1/20,0.93
1/1/21,1.08
2/1/21,1.26
3/1/21,1.61
4/1/21,1.64
5/3/21,1.62
