DATE,NPPTTL
1/1/18,125346.437
2/1/18,125674.267
3/1/18,125841
4/1/18,126102.265
5/1/18,126306.269
6/1/18,126443.638
7/1/18,126634.615
8/1/18,126794.662
9/1/18,126893.385
10/1/18,127154.379
11/1/18,127260.328
12/1/18,127404.055
1/1/19,127491.09
2/1/19,127473.001
3/1/19,127739
4/1/19,128011.392
5/1/19,127957.43
6/1/19,128126.954
7/1/19,128275.92
8/1/19,128390.421
9/1/19,128639.206
10/1/19,128695.211
11/1/19,128865.425
12/1/19,129014.939
1/1/20,129194.837
2/1/20,129393.689
3/1/20,129189.991
4/1/20,109798.169
5/1/20,112967.716
6/1/20,117317.559
7/1/20,117549.458
8/1/20,118015.215
9/1/20,118836.28
10/1/20,119258.149
11/1/20,119559.705
12/1/20,119484.207
1/1/21,119680.532
2/1/21,119860.175
3/1/21,120379.307
4/1/21,121033.614
5/1/21,122011.837
