DATE,W825RC1
1/1/18,29.8
2/1/18,29.1
3/1/18,28.8
4/1/18,28.5
5/1/18,27.6
6/1/18,27.6
7/1/18,27.8
8/1/18,27.5
9/1/18,26.9
10/1/18,26.6
11/1/18,27
12/1/18,27.5
1/1/19,28
2/1/19,28.1
3/1/19,28
4/1/19,27.2
5/1/19,27.5
6/1/19,27.7
7/1/19,27.7
8/1/19,27.6
9/1/19,27.5
10/1/19,27.7
11/1/19,27.6
12/1/19,28.4
1/1/20,28.1
2/1/20,27.8
3/1/20,74.4
4/1/20,493
5/1/20,1355.8
6/1/20,1404.9
7/1/20,1330.5
8/1/20,636
9/1/20,358.9
10/1/20,304.3
11/1/20,280.8
12/1/20,304.3
1/1/21,556.4
2/1/21,535.4
3/1/21,541.2
4/1/21,495.4
